event_id,employee_id,absence_type,start_date,end_date,days,status,bucket_id,note
EV-00034,PL-0002,annual_leave,2026-01-20,2026-01-23,4.0,approved,annual_leave,
EV-00035,PL-0002,annual_leave,2026-01-15,2026-01-15,1.0,approved,annual_leave,
EV-00036,PL-0003,annual_leave,2024-09-18,2024-09-22,5.0,approved,annual_leave,
EV-00037,PL-0003,annual_leave,2024-07-01,2024-07-01,1.0,approved,annual_leave,
EV-00038,PL-0003,annual_leave,2024-09-01,2024-09-10,10.0,approved,annual_leave,
EV-00039,PL-0003,annual_leave,2024-04-18,2024-04-18,1.0,approved,annual_leave,
EV-00040,PL-0003,annual_leave,2024-02-03,2024-02-03,1.0,approved,annual_leave,
EV-00041,PL-0003,annual_leave,2024-12-15,2024-12-15,1.0,approved,annual_leave,
EV-00042,PL-0003,annual_leave,2025-04-03,2025-04-03,1.0,approved,annual_leave,
EV-00043,PL-0003,annual_leave,2025-08-08,2025-08-08,1.0,approved,annual_leave,
EV-00044,PL-0003,annual_leave,2025-02-09,2025-02-18,10.0,approved,annual_leave,
EV-00045,PL-0003,annual_leave,2025-03-20,2025-03-20,1.0,approved,annual_leave,
EV-00046,PL-0003,annual_leave,2025-02-08,2025-02-12,5.0,approved,annual_leave,
EV-00047,PL-0003,annual_leave,2025-12-11,2025-12-11,1.0,approved,annual_leave,
EV-00048,PL-0003,annual_leave,2025-12-03,2025-12-03,1.0,approved,annual_leave,
EV-00049,PL-0003,annual_leave,2026-07-05,2026-07-06,2.0,approved,annual_leave,
EV-00050,PL-0003,annual_leave,2026-03-20,2026-03-21,2.0,approved,annual_leave,
EV-00051,PL-0003,annual_leave,2026-03-16,2026-03-18,3.0,approved,annual_leave,
EV-00052,PL-0003,annual_leave,2026-05-06,2026-05-08,3.0,approved,annual_leave,
EV-00053,PL-0003,annual_leave,2026-04-17,2026-04-20,4.0,approved,annual_leave,
EV-00054,PL-0003,annual_leave,2026-12-01,2026-12-04,4.0,approved,annual_leave,booked ahead
EV-00055,PL-0004,annual_leave,2024-06-20,2024-06-21,2.0,approved,annual_leave,
EV-00056,PL-0004,annual_leave,2024-06-20,2024-06-24,5.0,approved,annual_leave,
EV-00057,PL-0004,annual_leave,2024-02-09,2024-02-09,1.0,approved,annual_leave,
EV-00058,PL-0004,annual_leave,2024-11-13,2024-11-17,5.0,approved,annual_leave,
EV-00059,PL-0004,annual_leave,2024-11-03,2024-11-04,2.0,approved,annual_leave,
EV-00060,PL-0004,annual_leave,2024-08-11,2024-08-13,3.0,approved,annual_leave,
EV-00061,PL-0004,annual_leave,2024-07-16,2024-07-16,1.0,approved,annual_leave,
EV-00062,PL-0004,annual_leave,2025-10-18,2025-10-19,2.0,approved,annual_leave,
EV-00063,PL-0004,annual_leave,2025-04-10,2025-04-10,1.0,approved,annual_leave,
EV-00064,PL-0004,annual_leave,2025-03-12,2025-03-16,5.0,approved,annual_leave,
EV-00065,PL-0004,annual_leave,2025-01-06,2025-01-06,1.0,approved,annual_leave,
EV-00066,PL-0004,annual_leave,2025-04-18,2025-04-22,5.0,approved,annual_leave,
EV-00067,PL-0004,annual_leave,2025-08-17,2025-08-21,5.0,approved,annual_leave,
EV-00068,PL-0004,annual_leave,2025-06-12,2025-06-13,2.0,approved,annual_leave,
EV-00069,PL-0004,annual_leave,2025-07-11,2025-07-11,1.0,approved,annual_leave,
EV-00070,PL-0004,annual_leave,2026-04-01,2026-04-01,1.0,approved,annual_leave,
EV-00071,PL-0004,annual_leave,2026-04-06,2026-04-07,2.0,approved,annual_leave,
EV-00072,PL-0004,annual_leave,2026-06-14,2026-06-15,2.0,approved,annual_leave,
EV-00073,PL-0004,annual_leave,2026-07-04,2026-07-05,2.0,approved,annual_leave,
EV-00074,PL-0004,annual_leave,2026-04-20,2026-04-27,8.0,approved,annual_leave,
EV-00075,NL-0001,annual_leave,2024-05-09,2024-05-13,5.0,approved,statutory,
EV-00076,NL-0001,annual_leave,2024-03-03,2024-03-03,1.0,approved,statutory,
EV-00077,NL-0001,annual_leave,2024-06-10,2024-06-12,3.0,approved,statutory,
EV-00078,NL-0001,annual_leave,2024-09-03,2024-09-03,1.0,approved,statutory,
EV-00079,NL-0001,annual_leave,2024-07-20,2024-07-21,2.0,approved,statutory,
EV-00080,NL-0001,annual_leave,2024-01-19,2024-01-19,1.0,approved,statutory,
EV-00081,NL-0001,annual_leave,2024-09-20,2024-09-20,1.0,approved,statutory,
EV-00082,NL-0001,annual_leave,2024-03-19,2024-03-19,1.0,approved,statutory,
EV-00083,NL-0001,annual_leave,2024-12-16,2024-12-16,1.0,approved,statutory,
EV-00084,NL-0001,annual_leave,2024-04-18,2024-04-19,2.0,approved,supplementary,
EV-00085,NL-0001,annual_leave,2024-03-06,2024-03-06,1.0,approved,supplementary,
EV-00086,NL-0001,annual_leave,2024-07-18,2024-07-18,1.0,approved,supplementary,
EV-00087,NL-0001,annual_leave,2024-03-02,2024-03-02,1.0,approved,supplementary,
EV-00088,NL-0001,annual_leave,2025-09-20,2025-09-24,5.0,approved,statutory,
EV-00089,NL-0001,annual_leave,2025-02-01,2025-02-03,3.0,approved,statutory,
EV-00090,NL-0001,annual_leave,2025-10-01,2025-10-01,1.0,approved,statutory,
EV-00091,NL-0001,annual_leave,2025-10-10,2025-10-10,1.0,approved,statutory,
EV-00092,NL-0001,annual_leave,2025-09-16,2025-09-17,2.0,approved,statutory,
EV-00093,NL-0001,annual_leave,2025-04-10,2025-04-12,3.0,approved,statutory,
EV-00094,NL-0001,annual_leave,2025-12-10,2025-12-13,4.0,approved,statutory,
EV-00095,NL-0001,annual_leave,2025-02-16,2025-02-18,3.0,approved,supplementary,
EV-00096,NL-0001,annual_leave,2025-05-08,2025-05-08,1.0,approved,supplementary,
EV-00097,NL-0001,annual_leave,2025-03-18,2025-03-18,1.0,approved,supplementary,
EV-00098,NL-0001,annual_leave,2026-05-12,2026-05-16,5.0,approved,statutory,
EV-00099,NL-0001,annual_leave,2026-05-03,2026-05-04,2.0,approved,statutory,
EV-00100,NL-0001,annual_leave,2026-05-03,2026-05-03,1.0,approved,statutory,
EV-00101,NL-0001,annual_leave,2026-06-01,2026-06-01,1.0,approved,statutory,
EV-00102,NL-0001,annual_leave,2026-03-12,2026-03-12,1.0,approved,statutory,
EV-00103,NL-0001,annual_leave,2026-01-04,2026-01-04,1.0,approved,supplementary,
EV-00104,NL-0001,annual_leave,2026-01-01,2026-01-01,1.0,approved,supplementary,
EV-00105,NL-0002,annual_leave,2024-11-13,2024-11-22,10.0,approved,statutory,
EV-00106,NL-0002,annual_leave,2024-11-11,2024-11-18,8.0,approved,statutory,
EV-00107,NL-0002,annual_leave,2024-05-06,2024-05-06,1.0,approved,statutory,
EV-00108,NL-0002,annual_leave,2024-08-19,2024-08-21,3.0,approved,supplementary,
EV-00109,NL-0002,annual_leave,2024-03-01,2024-03-01,1.0,approved,supplementary,
EV-00110,NL-0002,annual_leave,2025-05-06,2025-05-07,2.0,approved,statutory,
EV-00111,NL-0002,annual_leave,2025-03-13,2025-03-13,1.0,approved,statutory,
EV-00112,NL-0002,annual_leave,2025-08-20,2025-08-20,1.0,approved,statutory,
EV-00113,NL-0002,annual_leave,2025-10-04,2025-10-08,5.0,approved,statutory,
EV-00114,NL-0002,annual_leave,2025-02-06,2025-02-07,2.0,approved,statutory,
EV-00115,NL-0002,annual_leave,2025-12-01,2025-12-03,3.0,approved,statutory,
EV-00116,NL-0002,annual_leave,2025-06-18,2025-06-18,1.0,approved,statutory,
EV-00117,NL-0002,annual_leave,2025-10-15,2025-10-15,1.0,approved,supplementary,
EV-00118,NL-0002,annual_leave,2025-11-13,2025-11-13,1.0,approved,supplementary,
EV-00119,NL-0002,annual_leave,2025-01-20,2025-01-21,2.0,approved,supplementary,
EV-00120,NL-0002,annual_leave,2026-02-12,2026-02-21,10.0,approved,statutory,
EV-00121,NL-0002,annual_leave,2026-04-12,2026-04-12,1.0,approved,statutory,
EV-00122,NL-0002,annual_leave,2026-07-03,2026-07-05,3.0,approved,supplementary,
EV-00123,IN-0001,annual_leave,2024-07-03,2024-07-05,3.0,approved,earned_leave,
EV-00124,IN-0001,annual_leave,2024-07-04,2024-07-08,5.0,approved,earned_leave,
EV-00125,IN-0001,annual_leave,2024-06-07,2024-06-09,3.0,approved,earned_leave,
EV-00126,IN-0001,annual_leave,2024-02-14,2024-02-14,1.0,approved,earned_leave,
EV-00127,IN-0001,special_leave,2024-05-06,2024-05-07,2.0,approved,casual_leave,
EV-00128,IN-0001,special_leave,2024-08-05,2024-08-05,1.0,approved,casual_leave,
EV-00129,IN-0001,special_leave,2024-04-02,2024-04-02,1.0,approved,casual_leave,
EV-00130,IN-0001,special_leave,2024-08-16,2024-08-18,3.0,approved,casual_leave,
EV-00131,IN-0001,special_leave,2024-08-15,2024-08-16,2.0,approved,casual_leave,
EV-00132,IN-0001,sick_leave,2024-02-09,2024-02-13,5.0,approved,sick_leave,
EV-00133,IN-0001,sick_leave,2024-10-06,2024-10-06,1.0,approved,sick_leave,
EV-00134,IN-0001,annual_leave,2025-01-10,2025-01-14,5.0,approved,earned_leave,
EV-00135,IN-0001,annual_leave,2025-01-05,2025-01-05,1.0,approved,earned_leave,
EV-00136,IN-0001,annual_leave,2025-04-11,2025-04-11,1.0,approved,earned_leave,
EV-00137,IN-0001,annual_leave,2025-08-07,2025-08-08,2.0,approved,earned_leave,
EV-00138,IN-0001,annual_leave,2025-11-03,2025-11-05,3.0,approved,earned_leave,
EV-00139,IN-0001,annual_leave,2025-07-11,2025-07-11,1.0,approved,earned_leave,
EV-00140,IN-0001,special_leave,2025-12-17,2025-12-21,5.0,approved,casual_leave,
EV-00141,IN-0001,special_leave,2025-03-17,2025-03-17,1.0,approved,casual_leave,
EV-00142,IN-0001,sick_leave,2025-03-14,2025-03-15,2.0,approved,sick_leave,
EV-00143,IN-0001,sick_leave,2025-03-05,2025-03-05,1.0,approved,sick_leave,
EV-00144,IN-0001,sick_leave,2025-05-02,2025-05-02,1.0,approved,sick_leave,
EV-00145,IN-0001,annual_leave,2026-02-03,2026-02-04,2.0,approved,earned_leave,
EV-00146,IN-0001,annual_leave,2026-03-12,2026-03-12,1.0,approved,earned_leave,
EV-00147,IN-0001,annual_leave,2026-01-04,2026-01-05,2.0,approved,earned_leave,
EV-00148,IN-0001,annual_leave,2026-05-11,2026-05-15,5.0,approved,earned_leave,
EV-00149,IN-0001,annual_leave,2026-06-13,2026-06-13,1.0,approved,earned_leave,
EV-00150,IN-0001,special_leave,2026-05-16,2026-05-20,5.0,approved,casual_leave,
EV-00151,IN-0001,special_leave,2026-01-08,2026-01-08,1.0,approved,casual_leave,
EV-00152,IN-0001,sick_leave,2026-08-11,2026-08-11,1.0,approved,sick_leave,
EV-00153,IN-0001,sick_leave,2026-08-11,2026-08-11,1.0,approved,sick_leave,
EV-00154,IN-0001,annual_leave,2026-11-14,2026-11-17,4.0,approved,earned_leave,booked ahead
EV-00155,IN-0002,annual_leave,2024-07-20,2024-07-21,2.0,approved,earned_leave,
EV-00156,IN-0002,annual_leave,2024-02-03,2024-02-04,2.0,approved,earned_leave,
EV-00157,IN-0002,annual_leave,2024-09-08,2024-09-12,5.0,approved,earned_leave,
EV-00158,IN-0002,annual_leave,2024-10-01,2024-10-01,1.0,approved,earned_leave,
EV-00159,IN-0002,annual_leave,2024-12-16,2024-12-16,1.0,approved,earned_leave,
EV-00160,IN-0002,annual_leave,2024-02-05,2024-02-08,4.0,approved,earned_leave,
EV-00161,IN-0002,special_leave,2024-05-04,2024-05-08,5.0,approved,casual_leave,
EV-00162,IN-0002,special_leave,2024-03-11,2024-03-13,3.0,approved,casual_leave,
EV-00163,IN-0002,special_leave,2024-12-05,2024-12-05,1.0,approved,casual_leave,
EV-00164,IN-0002,sick_leave,2024-07-14,2024-07-15,2.0,approved,sick_leave,
EV-00165,IN-0002,sick_leave,2024-06-20,2024-06-21,2.0,approved,sick_leave,
EV-00166,IN-0002,sick_leave,2024-01-02,2024-01-03,2.0,approved,sick_leave,
EV-00167,IN-0002,sick_leave,2024-07-02,2024-07-03,2.0,approved,sick_leave,
EV-00168,IN-0002,annual_leave,2025-09-01,2025-09-01,1.0,approved,earned_leave,
EV-00169,IN-0002,annual_leave,2025-01-04,2025-01-05,2.0,approved,earned_leave,
EV-00170,IN-0002,annual_leave,2025-02-17,2025-02-17,1.0,approved,earned_leave,
EV-00171,IN-0002,annual_leave,2025-01-15,2025-01-17,3.0,approved,earned_leave,
EV-00172,IN-0002,annual_leave,2025-01-07,2025-01-08,2.0,approved,earned_leave,
EV-00173,IN-0002,annual_leave,2025-10-16,2025-10-16,1.0,approved,earned_leave,
EV-00174,IN-0002,annual_leave,2025-06-04,2025-06-04,1.0,approved,earned_leave,
EV-00175,IN-0002,annual_leave,2025-12-10,2025-12-10,1.0,approved,earned_leave,
EV-00176,IN-0002,annual_leave,2025-09-07,2025-09-07,1.0,approved,earned_leave,
EV-00177,IN-0002,special_leave,2025-07-02,2025-07-11,10.0,approved,casual_leave,
EV-00178,IN-0002,sick_leave,2025-03-05,2025-03-05,1.0,approved,sick_leave,
EV-00179,IN-0002,sick_leave,2025-07-10,2025-07-16,7.0,approved,sick_leave,
EV-00180,IN-0002,annual_leave,2026-03-15,2026-03-15,1.0,approved,earned_leave,
EV-00181,IN-0002,annual_leave,2026-06-09,2026-06-10,2.0,approved,earned_leave,
EV-00182,IN-0002,annual_leave,2026-05-11,2026-05-12,2.0,approved,earned_leave,
EV-00183,IN-0002,annual_leave,2026-02-03,2026-02-05,3.0,approved,earned_leave,
EV-00184,IN-0002,annual_leave,2026-06-16,2026-06-16,1.0,approved,earned_leave,
EV-00185,IN-0002,special_leave,2026-03-17,2026-03-19,3.0,approved,casual_leave,
EV-00186,IN-0002,sick_leave,2026-01-13,2026-01-14,2.0,approved,sick_leave,
EV-00187,IN-0002,sick_leave,2026-06-09,2026-06-10,2.0,approved,sick_leave,
EV-00188,IN-0002,sick_leave,2026-07-14,2026-07-14,1.0,approved,sick_leave,
EV-00189,IN-0002,annual_leave,2026-10-06,2026-10-09,4.0,approved,earned_leave,booked ahead
EV-00190,US-0001,annual_leave,2024-01-14,2024-01-18,5.0,approved,pto,
EV-00191,US-0001,annual_leave,2024-11-03,2024-11-07,5.0,approved,pto,
EV-00192,US-0001,annual_leave,2024-12-07,2024-12-07,1.0,approved,pto,
EV-00193,US-0001,annual_leave,2024-06-08,2024-06-08,1.0,approved,pto,
EV-00194,US-0001,annual_leave,2025-04-12,2025-04-13,2.0,approved,pto,
EV-00195,US-0001,annual_leave,2025-05-04,2025-05-04,1.0,approved,pto,
EV-00196,US-0001,annual_leave,2025-06-08,2025-06-12,5.0,approved,pto,
EV-00197,US-0001,annual_leave,2025-10-10,2025-10-10,1.0,approved,pto,
EV-00198,US-0001,annual_leave,2025-08-19,2025-08-20,2.0,approved,pto,
EV-00199,US-0001,annual_leave,2025-07-14,2025-07-14,1.0,approved,pto,
EV-00200,US-0001,annual_leave,2026-05-16,2026-05-16,1.0,approved,pto,
EV-00201,US-0001,annual_leave,2026-04-07,2026-04-07,1.0,approved,pto,
EV-00202,US-0001,annual_leave,2026-05-07,2026-05-11,5.0,approved,pto,
EV-00203,US-0001,annual_leave,2026-03-02,2026-03-02,1.0,approved,pto,
EV-00204,US-0002,annual_leave,2024-12-08,2024-12-10,3.0,approved,pto,
EV-00205,US-0002,annual_leave,2024-02-02,2024-02-04,3.0,approved,pto,
EV-00206,US-0002,annual_leave,2024-05-11,2024-05-18,8.0,approved,pto,
EV-00207,US-0002,annual_leave,2025-07-06,2025-07-10,5.0,approved,pto,
EV-00208,US-0002,annual_leave,2025-08-13,2025-08-13,1.0,approved,pto,
EV-00209,US-0002,annual_leave,2025-09-15,2025-09-19,5.0,approved,pto,
EV-00210,US-0002,annual_leave,2025-07-10,2025-07-10,1.0,approved,pto,
EV-00211,US-0002,annual_leave,2025-12-17,2025-12-17,1.0,approved,pto,
EV-00212,US-0002,annual_leave,2026-03-19,2026-03-19,1.0,approved,pto,
EV-00213,US-0002,annual_leave,2026-01-05,2026-01-05,1.0,approved,pto,
EV-00214,US-0002,annual_leave,2026-06-09,2026-06-13,5.0,approved,pto,
EV-00215,US-0002,annual_leave,2026-12-02,2026-12-05,4.0,approved,pto,booked ahead
EV-00216,IE-0001,annual_leave,2024-03-16,2024-03-18,3.0,approved,annual_leave,
EV-00217,IE-0001,annual_leave,2024-06-03,2024-06-07,5.0,approved,annual_leave,
EV-00218,IE-0001,annual_leave,2024-12-20,2024-12-23,4.0,approved,annual_leave,
EV-00219,IE-0001,annual_leave,2024-02-02,2024-02-02,1.0,approved,annual_leave,
EV-00220,IE-0001,annual_leave,2025-07-12,2025-07-21,10.0,approved,annual_leave,
EV-00221,IE-0001,annual_leave,2025-09-12,2025-09-16,5.0,approved,annual_leave,
EV-00222,IE-0001,annual_leave,2026-04-13,2026-04-13,1.0,approved,annual_leave,
EV-00223,IE-0001,annual_leave,2026-06-16,2026-06-17,2.0,approved,annual_leave,
EV-00224,IE-0001,annual_leave,2026-02-15,2026-02-22,8.0,approved,annual_leave,
EV-00225,IE-0001,annual_leave,2026-08-09,2026-08-09,1.0,approved,annual_leave,
EV-00226,IE-0002,annual_leave,2024-05-15,2024-05-16,2.0,approved,annual_leave,
EV-00227,IE-0002,annual_leave,2024-11-03,2024-11-07,5.0,approved,annual_leave,
EV-00228,IE-0002,annual_leave,2024-03-11,2024-03-15,5.0,approved,annual_leave,
EV-00229,IE-0002,annual_leave,2024-02-03,2024-02-03,1.0,approved,annual_leave,
EV-00230,IE-0002,annual_leave,2025-12-05,2025-12-06,2.0,approved,annual_leave,
EV-00231,IE-0002,annual_leave,2025-12-08,2025-12-12,5.0,approved,annual_leave,
EV-00232,IE-0002,annual_leave,2025-03-14,2025-03-23,10.0,approved,annual_leave,
EV-00233,IE-0002,annual_leave,2025-05-19,2025-05-19,1.0,approved,annual_leave,
EV-00234,IE-0002,annual_leave,2026-01-14,2026-01-18,5.0,approved,annual_leave,
EV-00235,IE-0002,annual_leave,2026-05-20,2026-05-22,3.0,approved,annual_leave,
EV-00236,IE-0002,annual_leave,2026-11-20,2026-11-23,4.0,approved,annual_leave,booked ahead
EV-00237,DE-0001,annual_leave,2024-09-07,2024-09-09,3.0,approved,statutory,
EV-00238,DE-0001,annual_leave,2024-09-11,2024-09-20,10.0,approved,statutory,
EV-00239,DE-0001,annual_leave,2024-09-09,2024-09-10,2.0,approved,statutory,
EV-00240,DE-0001,annual_leave,2024-08-19,2024-08-20,2.0,approved,statutory,
EV-00241,DE-0001,annual_leave,2024-03-09,2024-03-09,1.0,approved,statutory,
EV-00242,DE-0001,annual_leave,2024-12-15,2024-12-15,1.0,approved,statutory,
EV-00243,DE-0001,annual_leave,2024-02-03,2024-02-03,1.0,approved,statutory,
EV-00244,DE-0001,annual_leave,2024-03-01,2024-03-02,2.0,approved,contractual,
EV-00245,DE-0001,annual_leave,2024-09-04,2024-09-05,2.0,approved,contractual,
EV-00246,DE-0001,annual_leave,2024-05-10,2024-05-10,1.0,approved,contractual,
EV-00247,DE-0001,annual_leave,2024-09-17,2024-09-17,1.0,approved,contractual,
EV-00248,DE-0001,annual_leave,2025-07-04,2025-07-04,1.0,approved,statutory,
EV-00249,DE-0001,annual_leave,2025-08-06,2025-08-07,2.0,approved,statutory,
EV-00250,DE-0001,annual_leave,2025-08-05,2025-08-07,3.0,approved,statutory,
EV-00251,DE-0001,annual_leave,2025-09-03,2025-09-03,1.0,approved,statutory,
EV-00252,DE-0001,annual_leave,2025-01-15,2025-01-15,1.0,approved,statutory,
EV-00253,DE-0001,annual_leave,2025-02-02,2025-02-04,3.0,approved,statutory,
EV-00254,DE-0001,annual_leave,2025-10-03,2025-10-07,5.0,approved,statutory,
EV-00255,DE-0001,annual_leave,2025-10-14,2025-10-18,5.0,approved,contractual,
EV-00256,DE-0001,annual_leave,2025-03-10,2025-03-11,2.0,approved,contractual,
EV-00257,DE-0001,annual_leave,2026-07-02,2026-07-06,5.0,approved,statutory,
EV-00258,DE-0001,annual_leave,2026-07-16,2026-07-20,5.0,approved,statutory,
EV-00259,DE-0001,annual_leave,2026-03-03,2026-03-03,1.0,approved,statutory,
EV-00260,DE-0001,annual_leave,2026-04-02,2026-04-03,2.0,approved,contractual,
EV-00261,DE-0001,annual_leave,2026-05-16,2026-05-16,1.0,approved,contractual,
EV-00262,DE-0002,annual_leave,2024-10-11,2024-10-11,1.0,approved,statutory,
EV-00263,DE-0002,annual_leave,2024-10-09,2024-10-10,2.0,approved,statutory,
EV-00264,DE-0002,annual_leave,2024-12-06,2024-12-06,1.0,approved,contractual,
EV-00265,DE-0002,annual_leave,2024-11-04,2024-11-04,1.0,approved,contractual,
EV-00266,DE-0002,annual_leave,2025-08-04,2025-08-08,5.0,approved,statutory,
EV-00267,DE-0002,annual_leave,2025-09-11,2025-09-19,9.0,approved,statutory,
EV-00268,DE-0002,annual_leave,2025-02-17,2025-02-17,1.0,approved,statutory,
EV-00269,DE-0002,annual_leave,2025-10-03,2025-10-07,5.0,approved,contractual,
EV-00270,DE-0002,annual_leave,2025-09-02,2025-09-02,1.0,approved,contractual,
EV-00271,DE-0002,annual_leave,2025-01-16,2025-01-16,1.0,approved,contractual,
EV-00272,DE-0002,annual_leave,2026-01-12,2026-01-12,1.0,approved,statutory,
EV-00273,DE-0002,annual_leave,2026-03-05,2026-03-14,10.0,approved,statutory,
EV-00274,DE-0002,annual_leave,2026-03-14,2026-03-14,1.0,approved,statutory,
EV-00275,DE-0002,annual_leave,2026-01-15,2026-01-17,3.0,approved,contractual,
EV-00276,DE-0002,annual_leave,2026-07-17,2026-07-17,1.0,approved,contractual,
EV-00277,DE-0002,annual_leave,2026-12-14,2026-12-17,4.0,approved,statutory,booked ahead
EV-00278,PL-0005,annual_leave,2024-11-20,2024-11-20,1.0,approved,annual_leave,
EV-00279,PL-0005,annual_leave,2024-05-20,2024-05-20,1.0,approved,annual_leave,
EV-00280,PL-0005,annual_leave,2024-12-07,2024-12-07,1.0,approved,annual_leave,
EV-00281,PL-0005,annual_leave,2024-06-01,2024-06-01,1.0,approved,annual_leave,
EV-00282,PL-0005,annual_leave,2024-01-20,2024-01-29,10.0,approved,annual_leave,
EV-00283,PL-0005,annual_leave,2024-02-02,2024-02-06,5.0,approved,annual_leave,
EV-00284,PL-0005,annual_leave,2024-03-16,2024-03-16,1.0,approved,annual_leave,
EV-00285,PL-0005,annual_leave,2024-09-06,2024-09-07,2.0,approved,annual_leave,
EV-00286,PL-0005,annual_leave,2024-12-04,2024-12-04,1.0,approved,annual_leave,
EV-00287,PL-0005,annual_leave,2024-05-09,2024-05-09,1.0,approved,annual_leave,
EV-00288,PL-0005,annual_leave,2025-01-06,2025-01-10,5.0,approved,annual_leave,
EV-00289,PL-0005,annual_leave,2025-09-04,2025-09-13,10.0,approved,annual_leave,
EV-00290,PL-0005,annual_leave,2025-05-13,2025-05-17,5.0,approved,annual_leave,
EV-00291,PL-0005,annual_leave,2025-06-14,2025-06-15,2.0,approved,annual_leave,
EV-00292,PL-0005,annual_leave,2026-02-07,2026-02-08,2.0,approved,annual_leave,
EV-00293,PL-0005,annual_leave,2026-07-12,2026-07-14,3.0,approved,annual_leave,
EV-00294,PL-0005,annual_leave,2026-04-16,2026-04-16,1.0,approved,annual_leave,
EV-00295,PL-0005,annual_leave,2026-08-12,2026-08-16,5.0,approved,annual_leave,
EV-00296,PL-0005,annual_leave,2026-12-17,2026-12-20,4.0,approved,annual_leave,booked ahead
EV-00297,PL-0006,annual_leave,2024-03-13,2024-03-13,1.0,approved,annual_leave,
EV-00298,PL-0006,annual_leave,2024-04-20,2024-04-21,2.0,approved,annual_leave,
EV-00299,PL-0006,annual_leave,2024-01-20,2024-01-21,2.0,approved,annual_leave,
EV-00300,PL-0006,annual_leave,2024-06-19,2024-06-20,2.0,approved,annual_leave,
EV-00301,PL-0006,annual_leave,2024-07-16,2024-07-16,1.0,approved,annual_leave,
EV-00302,PL-0006,annual_leave,2024-03-02,2024-03-03,2.0,approved,annual_leave,
EV-00303,PL-0006,annual_leave,2024-09-09,2024-09-11,3.0,approved,annual_leave,
EV-00304,PL-0006,annual_leave,2024-06-02,2024-06-04,3.0,approved,annual_leave,
EV-00305,PL-0006,annual_leave,2024-03-01,2024-03-01,1.0,approved,annual_leave,
EV-00306,PL-0006,annual_leave,2024-08-09,2024-08-09,1.0,approved,annual_leave,
EV-00307,PL-0006,annual_leave,2024-06-19,2024-06-19,1.0,approved,annual_leave,
EV-00308,PL-0006,annual_leave,2025-03-07,2025-03-09,3.0,approved,annual_leave,
